parameter,depth_m,value,unit,year,month,source,note
NH4,120,69.6,uM,2007,february,Crowe 2011,
NH4,130,106.1,uM,2007,february,Crowe 2011,
NH4,139,127.7,uM,2007,february,Crowe 2011,
NH4,150,154.1,uM,2007,february,Crowe 2011,
NH4,160,173.6,uM,2007,february,Crowe 2011,
NH4,170,186.5,uM,2007,february,Crowe 2011,
NH4,180,232.4,uM,2007,february,Crowe 2011,
NH4,200,264.2,uM,2007,february,Crowe 2011,
NH4,225,288.5,uM,2007,february,Crowe 2011,
NH4,325,249.3,uM,2007,february,Crowe 2011,
NH4,425,244.6,uM,2007,february,Crowe 2011,
NH4,524,231.8,uM,2007,february,Crowe 2011,
NH4,108,0.0,uM,2006,july,Crowe 2011,
NH4,112,20.3,uM,2006,july,Crowe 2011,
NH4,120,45.3,uM,2006,july,Crowe 2011,
NH4,130,68.2,uM,2006,july,Crowe 2011,
NH4,138,93.9,uM,2006,july,Crowe 2011,
NH4,151,123.6,uM,2006,july,Crowe 2011,
NH4,171,148.6,uM,2006,july,Crowe 2011,
NH4,201,184.5,uM,2006,july,Crowe 2011,
NH4,250,201.4,uM,2006,july,Crowe 2011,
NH4,252,239.9,uM,2006,july,Crowe 2011,
NH4,302,255.4,uM,2006,july,Crowe 2011,
SO4,17,20.35,uM,2007,february,Crowe 2008b,
SO4,41,20.34,uM,2007,february,Crowe 2008b,
SO4,64,19.4,uM,2007,february,Crowe 2008b,
SO4,88,19.06,uM,2007,february,Crowe 2008b,
SO4,112,18.54,uM,2007,february,Crowe 2008b,
SO4,118,17.6,uM,2007,february,Crowe 2008b,
SO4,124,16.75,uM,2007,february,Crowe 2008b,
SO4,130,14.79,uM,2007,february,Crowe 2008b,
SO4,136,12.4,uM,2007,february,Crowe 2008b,
SO4,142,6.18,uM,2007,february,Crowe 2008b,
SO4,149,0.13,uM,2007,february,Crowe 2008b,
SO4,155,0.13,uM,2007,february,Crowe 2008b,
SO4,484,0,uM,2007,february,Crowe 2008b,
SO4,550,0,uM,2007,february,Crowe 2008b,Changed from ~600 to 550 to fit model size
H2S,105,0.082,uM,2007,february,Crowe 2008b,
H2S,110,0.082,uM,2007,february,Crowe 2008b,
H2S,112,0.08,uM,2007,february,Crowe 2008b,
H2S,117,0.09,uM,2007,february,Crowe 2008b,
H2S,122,0.215,uM,2007,february,Crowe 2008b,
H2S,128,0.342,uM,2007,february,Crowe 2008b,
H2S,134,0.274,uM,2007,february,Crowe 2008b,
H2S,144,0.563,uM,2007,february,Crowe 2008b,
H2S,144,0.575,uM,2007,february,Crowe 2008b,
H2S,155,0.219,uM,2007,february,Crowe 2008b,
H2S,165,0.104,uM,2007,february,Crowe 2008b,
H2S,185,0.125,uM,2007,february,Crowe 2008b,
H2S,204,0.127,uM,2007,february,Crowe 2008b,
H2S,254,0.137,uM,2007,february,Crowe 2008b,
H2S,353,0.164,uM,2007,february,Crowe 2008b,
H2S,453,0.139,uM,2007,february,Crowe 2008b,
H2S,550,0.119,uM,2007,february,Crowe 2008b,Changed from ~555 to 550 to fit model size
